iter	Passed	Remaining
0	0	369
1	0	358
2	1	335
3	1	322
4	1	310
5	1	304
6	2	293
7	2	287
8	2	279
9	2	272
10	2	268
11	3	268
12	3	263
13	3	262
14	4	263
15	4	262
16	4	262
17	4	259
18	4	256
19	5	254
20	5	254
21	5	253
22	5	253
23	6	253
24	6	253
25	6	253
26	7	253
27	7	251
28	7	250
29	7	251
30	8	251
31	8	251
32	8	251
33	8	249
34	8	248
35	9	246
36	9	244
37	9	243
38	9	242
39	10	241
40	10	240
41	10	239
42	10	239
43	10	237
44	11	236
45	11	235
46	11	234
47	11	233
48	11	232
49	12	233
50	12	234
51	12	234
52	13	234
53	13	233
54	13	233
55	13	232
56	14	232
57	14	232
58	14	232
59	14	231
60	15	230
61	15	230
62	15	230
63	15	230
64	15	229
65	16	229
66	16	229
67	16	228
68	16	227
69	17	226
70	17	225
71	17	225
72	17	224
73	17	223
74	18	222
75	18	222
76	18	221
77	18	221
78	18	220
79	19	220
80	19	219
81	19	219
82	19	217
83	19	216
84	20	215
85	20	215
86	20	214
87	20	214
88	20	214
89	21	214
90	21	214
91	21	214
92	21	214
93	22	214
94	22	213
95	22	213
96	22	212
97	23	212
98	23	212
99	23	211
100	23	211
101	24	211
102	24	211
103	24	210
104	24	211
105	25	211
106	25	211
107	25	211
108	25	211
109	26	211
110	26	211
111	26	211
112	26	211
113	27	211
114	27	211
115	27	211
116	27	210
117	28	210
118	28	210
119	28	210
120	28	209
121	29	208
122	29	208
123	29	207
124	29	207
125	29	207
126	30	206
127	30	205
128	30	205
129	30	205
130	30	205
131	31	204
132	31	204
133	31	204
134	31	203
135	32	203
136	32	203
137	32	203
138	32	203
139	33	202
140	33	202
141	33	202
142	33	202
143	33	201
144	34	201
145	34	201
146	34	200
147	34	200
148	35	200
149	35	200
150	35	199
151	35	199
152	36	199
153	36	199
154	36	199
155	36	199
156	37	198
157	37	198
158	37	198
159	37	198
160	37	197
161	38	197
162	38	197
163	38	197
164	38	196
165	39	196
166	39	196
167	39	195
168	39	195
169	39	195
170	40	194
171	40	194
172	40	194
173	40	193
174	40	193
175	41	192
176	41	192
177	41	192
178	41	192
179	42	192
180	42	191
181	42	191
182	42	191
183	43	191
184	43	191
185	43	190
186	43	190
187	44	190
188	44	189
189	44	189
190	44	189
191	44	188
192	45	188
193	45	188
194	45	188
195	45	188
196	46	188
197	46	187
198	46	187
199	47	188
200	47	187
201	47	187
202	47	187
203	47	186
204	48	186
205	48	186
206	48	185
207	48	185
208	48	185
209	49	184
210	49	184
211	49	184
212	49	184
213	50	184
214	50	184
215	50	183
216	50	183
217	51	183
218	51	182
219	51	182
220	51	182
221	51	182
222	52	182
223	52	181
224	52	181
225	52	181
226	53	181
227	53	180
228	53	180
229	53	180
230	54	180
231	54	180
232	54	180
233	54	179
234	55	179
235	55	178
236	55	178
237	55	178
238	55	177
239	56	177
240	56	177
241	56	176
242	56	176
243	56	176
244	57	175
245	57	175
246	57	175
247	57	175
248	57	174
249	58	174
250	58	174
251	58	174
252	58	174
253	59	174
254	59	174
255	59	174
256	60	173
257	60	173
258	60	173
259	60	172
260	61	172
261	61	172
262	61	172
263	61	171
264	61	171
265	61	171
266	62	170
267	62	170
268	62	170
269	62	169
270	62	169
271	63	169
272	63	168
273	63	168
274	63	168
275	63	167
276	64	167
277	64	167
278	64	166
279	64	166
280	65	166
281	65	166
282	65	165
283	65	165
284	65	165
285	66	164
